,imageURL,movieId,title,type,typeId,imdbRank,cast,releaseYear,duration,genres,cast1,cast2
0,"{'height': 2147, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMjY3ZmMzMzMtMjFhNC00MGU3LTlkNzYtMGUwMzAwNjEyYmJhXkEyXkFqcGdeQXVyMTcyNDY1NDgw._V1_.jpg', 'width': 1717}",tt14564000,Guntur Kaaram,feature,movie,6177.0,"Mahesh Babu, Sreeleela",2024.0,,"Action, Drama",Mahesh Babu, Sreeleela
1,"{'height': 1600, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNmVlZjVkNGMtZTY3MS00YzJjLTg3NjktZTQzNGJkMDUwZGEyXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_.jpg', 'width': 1279}",tt21908802,Sweet Kaaram Coffee,TV series,tvSeries,33880.0,"Lakshmi, Madhoo",2023.0,,"Drama, Family",Lakshmi, Madhoo
2,"{'height': 1600, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BODUwNTQwNGMtNjZmNi00ZTM2LWI4ZDEtNjc2NzQzYmYzZWRkXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg', 'width': 1108}",tt28684462,Kaagaz 2,feature,movie,5287.0,"Anupam Kher, Darshan Kumaar",2024.0,,Drama,Anupam Kher, Darshan Kumaar
4,"{'height': 1080, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BZDg1NmU5NjAtOGU4NC00MTMzLWJjYmYtZmEwMDU1MmE5YTFlXkEyXkFqcGdeQXVyMTIzMzg0MTM2._V1_.jpg', 'width': 1080}",tt9569610,Kaagaz,feature,movie,24419.0,"Pankaj Tripathi, Monal Gajjar",2021.0,,"Biography, Comedy, Drama",Pankaj Tripathi, Monal Gajjar
5,"{'height': 1219, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNDJiZGIyYjMtYjZkMy00NzE5LTljMDAtNjc3YmNlNjM3MDIzXkEyXkFqcGdeQXVyOTk3NTc2MzE@._V1_.jpg', 'width': 780}",tt1496729,Aaranya Kaandam,feature,movie,60121.0,"Sampath Raj, Jackie Shroff",2010.0,,"Action, Comedy, Crime, Thriller",Sampath Raj, Jackie Shroff
6,"{'height': 500, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNzc2MTM0MDIyNF5BMl5BanBnXkFtZTcwMTgxNTkwNA@@._V1_.jpg', 'width': 361}",tt0072870,Dharam Karam,feature,movie,165042.0,"Raj Kapoor, Randhir Kapoor",1975.0,,"Family, Drama",Raj Kapoor, Randhir Kapoor
7,"{'height': 2528, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BOGMxZWZlZTItMzMwZC00OWIwLWI3ZWEtMDZlZjc3MzIzMmViXkEyXkFqcGdeQXVyNDE0NjIwMTQ@._V1_.jpg', 'width': 1792}",tt9277762,Baaram,feature,movie,162614.0,"Adhini, Ajith",2018.0,,"Crime, Drama",Adhini, Ajith
9,"{'height': 1080, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BOGE2MDEyNDEtMTZmNi00Yjg3LTkxNGUtOTFmOTFhZGU2ZGM2XkEyXkFqcGdeQXVyNjcwMzExMzU@._V1_.jpg', 'width': 1080}",tt13854248,The Legend of Hanuman,TV series,tvSeries,14747.0,"Daman Baggan, Sharad Kelkar",2021.0,,"Animation, Adventure, Fantasy",Daman Baggan, Sharad Kelkar
10,"{'height': 1000, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNmIxYTgwZGYtZDM5Zi00NDg2LTgwNGQtNDUwZDM4YWJkYWNmXkEyXkFqcGdeQXVyMTIyNzY0NTMx._V1_.jpg', 'width': 800}",tt15433956,Hanu Man,feature,movie,992.0,"Teja Sajja, Amritha Aiyer",2024.0,,"Action, Adventure, Fantasy",Teja Sajja, Amritha Aiyer
11,"{'height': 1513, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BZmRiMDcwY2EtZDViMC00NWQ3LWE5ZGQtMjEwNGZkNGVjZjQzXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg', 'width': 1047}",tt0488836,Hanuman,feature,movie,80334.0,"Mukesh Khanna, Viraj",2005.0,,Animation,Mukesh Khanna, Viraj
13,"{'height': 755, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNTE3ZmEzMTItOGZkZS00NzdiLTljMjEtZWU2MTBhYTgzYmY2XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg', 'width': 522}",tt1169841,Return of Hanuman,feature,movie,71559.0,"Kathleen Barr, Lillian Carlson",2007.0,,"Animation, Action, Adventure, Family",Kathleen Barr, Lillian Carlson
