,Title,Star_1,Star_2,Star_3,Star_4,Genre_1,Genre_2,Genre_3,Release Year,IMDb Rating,Director_Name,Runtime
0,Guntur Kaaram,Mahesh Babu, Sree Leela, Ramya Krishnan, Prakash Raj,Action, Drama, Family,2024.0,7.0,Trivikram Srinivas,156.0
2,Kaagaz 2,Anupam Kher, Satish Kaushik, Neena Gupta, Darshan Kumaar,Drama,unknown,unknown,2024.0,0.0,Nishant Kaushik,125.0
3,Kaagaz,Pankaj Tripathi, Amar Upadhyay, Monal Gajjar, Mita Vasisht,Drama, Comedy, Biography,2021.0,6.7,Satish Kaushik,109.0
7,The Legend of Hanuman,Da Man, Shakti Singh, Sanket Mhatre, Vikrant Chaturvedi,Animation, History,unknown,2021.0,9.4,unknown,25.0
8,Hanu-Man,Teja Sajja, Vinay Rai, Amritha Aiyer, Varalaxmi Sarathkumar,Fantasy, Action, Comedy,2024.0,6.625,Prasanth Varma,159.0
9,Hanuman,Sanjeev Jaiswal, Mukesh Khanna, Viraj, Mona Shetty,Animation, Fantasy,unknown,2005.0,7.0,Milind Ukey,88.0
14,Super Nani,Rekha, Sharman Joshi, Randhir Kapoor, Shweta Kumar,Family, Drama, Comedy,2014.0,6.9,Indra Kumar,133.0
16,Kinou nani tabeta?,Hayato Isomura, Meiko Kaji, Chan Kawai,unknown,Family,unknown,unknown,2019.0,7.5,unknown,unknown
17,Hi Nanna,Nani, Mrunal Thakur, Baby Kiara Khanna, Jayaram,Drama, Family, Romance,2023.0,6.9,Shouryuv,155.0
18,Hightown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,unknown,unknown
19,Hi-de-Hi!,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,unknown,unknown
23,Seetha Rama Kalyanam,Haranath, Gitanjali, N.T. Rama Rao, Taraka Rama Rao Nandamuri,Drama, Musical,unknown,1961.0,7.8,Taraka Rama Rao Nandamuri,180.0
25,Sita Ramam,Dulquer Salmaan, Mrunal Thakur, Rashmika Mandanna, Sumanth,Romance, War,unknown,2022.0,1.0,Hanu Raghavapudi,90.0
26,Sita Sings the Blues,Reena Shah, Debargo Sanyal, Annette Hanshaw, Aseem Chhabra,Animation, Drama, Music,2008.0,7.0,Nina Paley,82.0
33,Kincsem,Nagy Ervin, Petrik Andrea, Tibor Gáspár, József Gyabronka,Drama, Adventure, Romance,2017.0,7.3,Gábor Herendi,121.0
34,Russian Ark,Sergei Dreiden, Mariya Kuznetsova, Leonid Mozgovoy, Mikhail Piotrovsky,Drama, Fantasy, History,2002.0,7.35,Marina Koreneva,99.0
35,Kick-Ass,Aaron Taylor-Johnson, Chloë Grace Moretz, Nicolas Cage, Christopher Mintz-Plasse,Action, Crime, Superhero,2010.0,7.1,Matthew Vaughn,117.0
36,Kick-Ass 2,Aaron Taylor-Johnson, Chloë Grace Moretz, Christopher Mintz-Plasse, Jim Carrey,Action, Adventure, Crime,2013.0,6.4,Jeff Wadlow,103.0
38,Kick,Salman Khan, Jacqueline Fernandez, Randeep Hooda, Nawazuddin Siddiqui,Action, Comedy, Thriller,2014.0,5.9,Sajid Nadiadwala,146.0
39,Gotta Kick It Up!,Camille Guaty, America Ferrera, Jhoanna Flores, Suilma Rodriguez,TV Movie, Comedy, Drama,2002.0,6.5,Ramón Menéndez,85.0
41,Kick Me,Santiago Vasquez, Ramone Armstrong, Matthew Stathas, Eric Logan,Action, Comedy, Horror,2023.0,6.0,Gary Huggins,84.0
42,Breaking Bad,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,unknown,unknown
43,Premalu,Naslen, Mamitha Baiju, Akhila Bhargavan, Sangeeth Prathap,Romance, Comedy,unknown,2024.0,7.75,Girish A D,154.0
44,Tholi Prema,Pawan Kalyan, Keerthi Reddy, Ali Basha, Ravi Babu,Romance, Drama, Comedy,1998.0,5.4,A. Karunakaran,136.0
45,Prema Kavali,Aadi Saikumar, Isha Chawla, Dev Gill, Nassar,Romance, Comedy,unknown,2011.0,3.3,K. Vijaya Bhaskar,166.0
46,Ondu Sarala Prema Kathe,Vinay Rajkumar, Swathishta Krishnan, Mallika Singh, Karthik Mahesh,Drama, Romance,unknown,2024.0,0.0,Suni,90.0
48,Gunde Jaari Gallanthayyinde,Nithiin, Isha Talwar, Nithya Menen, Ali Basha,Romance, Comedy, Drama,2013.0,6.5,Vijay Kumar Konda,150.0
49,Around the World in Eighty Days,David Niven, Cantinflas, Finlay Currie, Robert Morley,Adventure, Comedy, Family,1956.0,6.659,Michael Anderson,182.0
51,How to Lose a Guy in 10 Days,Kate Hudson, Matthew McConaughey, Kathryn Hahn, Annie Parisse,Comedy, Romance, Action,2003.0,6.765,Donald Petrie,116.0
52,Around the World in 80 Days,Jackie Chan, Steve Coogan, Cécile de France, Jim Broadbent,Action, Adventure, Comedy,2004.0,5.925,Harvey Harrison,120.0
55,Mast Mein Rehne Ka,Jackie Shroff, Neena Gupta, Abhishek Chauhan, Monika Panwar,Comedy, Drama, Action,2023.0,7.563,Divyangini Sharma,127.0
57,Master and Commander: The Far Side of the World,Russell Crowe, Paul Bettany, James D'Arcy, Robert Pugh,Adventure, Drama, War,2003.0,7.138,Alan B. Curtiss,138.0
58,Masters of Sex,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,unknown,unknown
59,Master Gardener,Joel Edgerton, Sigourney Weaver, Quintessa Swindell, Esai Morales,Drama, Romance, Thriller,2023.0,6.4,Fernando Malabet,111.0
60,Masters of the Universe,Dolph Lundgren, Frank Langella, Meg Foster, Billy Barty,Action, Fantasy, Sci-Fi,1987.0,5.4,Gary Goddard,106.0
61,Captain Marvel,Brie Larson, Samuel L. Jackson, Ben Mendelsohn, Jude Law,Action, Adventure, Sci-Fi,2019.0,6.829,Jeff Habberstad,124.0
62,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,unknown,unknown
63,The Marvels,Brie Larson, Teyonah Parris, Iman Vellani, Zawe Ashton,Sci-Fi, Adventure, Action,2023.0,6.213,Joe Barlow,105.0
67,The Zone of Interest,Christian Friedel, Sandra Hüller, Johann Karthaus, Luis Noah Witte,History, Drama, War,2023.0,7.305,Jonathan Glazer,105.0
68,The Holdovers,Paul Giamatti, Dominic Sessa, Da'Vine Joy Randolph, Carrie Preston,Comedy, Drama, Holiday,2023.0,7.773,Alexander Payne,133.0
69,The Gentlemen,Matthew McConaughey, Charlie Hunnam, Henry Golding, Michelle Dockery,Action, Crime, Comedy,2020.0,7.68,Max Keene,113.0
71,Monkey Man,Dev Patel, Sharlto Copley, Pitobash, Vipin Sharma,Action, Thriller, Drama,2024.0,0.0,Dev Patel,90.0
72,Man of Steel,Henry Cavill, Amy Adams, Michael Shannon, Diane Lane,Action, Adventure, Sci-Fi,2013.0,6.621,Zack Snyder,143.0
73,Man on Fire,Denzel Washington, Dakota Fanning, Christopher Walken, Radha Mitchell,Action, Drama, Thriller,2004.0,7.46,Tony Scott,146.0
74,Spider-Man: Across the Spider-Verse,Shameik Moore, Hailee Steinfeld, Jason Schwartzman, Oscar Isaac,Animation, Action, Adventure,2023.0,8.379,Justin K. Thompson,140.0
75,Iron Man,Robert Downey Jr., Terrence Howard, Jeff Bridges, Gwyneth Paltrow,Action, Sci-Fi, Adventure,2008.0,7.642,Jon Favreau,126.0
76,The King's Man,Harris Dickinson, Ralph Fiennes, Aaron Taylor-Johnson, Gemma Arterton,Action, Adventure, Comedy,2021.0,7.46154,Matthew Vaughn,90.0
77,The Gray Man,Ryan Gosling, Chris Evans, Ana de Armas, Billy Bob Thornton,Action, Thriller, Adventure,2022.0,6.969,Anthony Russo,122.0
78,Kayoko's Diary,Masako Ikeda, Katsue Miwa, Masako Nozawa, Nozomu Sasaki,Animation, Drama, War,1991.0,6.9,Seiji Arihara,90.0
79,Someone's Knocking at the Door,Noah Segan, Andrea Renda, Elina Madison, Ezra Buzzington,Horror, Comedy, Fantasy,2009.0,4.4,Chad Ferrin,80.0
80,Truth or Dare,Lucy Hale, Violett Beane, Tyler Posey, Hayden Szeto,Thriller, Horror, Action,2018.0,5.969,Jeff Wadlow,101.0
81,The Secret: Dare to Dream,Katie Holmes, Josh Lucas, Jerry O'Connell, Celia Weston,Drama, Romance, Action,2020.0,7.299,Andy Tennant,107.0
