,Unnamed: 0,Title,Star_1,Star_2,Star_3,Star_4,Genre_1,Genre_2,Genre_3,Release Year,IMDb Rating,Director_Name,Runtime,imageURL,combined_features
0,0,Guntur Kaaram,Mahesh Babu, Sree Leela, Ramya Krishnan, Prakash Raj,Action, Drama, Family,2024,7,Trivikram Srinivas,156,https://m.media-amazon.com/images/M/MV5BMjY3ZmMzMzMtMjFhNC00MGU3LTlkNzYtMGUwMzAwNjEyYmJhXkEyXkFqcGdeQXVyMTcyNDY1NDgw._V1_.jpg,Mahesh Babu  Sree Leela  Ramya Krishnan  Prakash Raj Trivikram Srinivas
1,2,Kaagaz 2,Anupam Kher, Satish Kaushik, Neena Gupta, Darshan Kumaar,Drama,unknown,unknown,2024,0,Nishant Kaushik,125,https://m.media-amazon.com/images/M/MV5BODUwNTQwNGMtNjZmNi00ZTM2LWI4ZDEtNjc2NzQzYmYzZWRkXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,Anupam Kher  Satish Kaushik  Neena Gupta  Darshan Kumaar Nishant Kaushik
2,3,Kaagaz,Pankaj Tripathi, Amar Upadhyay, Monal Gajjar, Mita Vasisht,Drama, Comedy, Biography,2021,6.7,Satish Kaushik,109,https://m.media-amazon.com/images/M/MV5BZDg1NmU5NjAtOGU4NC00MTMzLWJjYmYtZmEwMDU1MmE5YTFlXkEyXkFqcGdeQXVyMTIzMzg0MTM2._V1_.jpg,Pankaj Tripathi  Amar Upadhyay  Monal Gajjar  Mita Vasisht Satish Kaushik
3,7,The Legend of Hanuman,Da Man, Shakti Singh, Sanket Mhatre, Vikrant Chaturvedi,Animation, History,unknown,2021,9.4,unknown,25,https://m.media-amazon.com/images/M/MV5BOGE2MDEyNDEtMTZmNi00Yjg3LTkxNGUtOTFmOTFhZGU2ZGM2XkEyXkFqcGdeQXVyNjcwMzExMzU@._V1_.jpg,Da Man  Shakti Singh  Sanket Mhatre  Vikrant Chaturvedi unknown
4,8,Hanu-Man,Teja Sajja, Vinay Rai, Amritha Aiyer, Varalaxmi Sarathkumar,Fantasy, Action, Comedy,2024,6.625,Prasanth Varma,159,https://cdn.123telugu.com/content/wp-content/uploads/2024/01/HanuMan-3.jpg,Teja Sajja  Vinay Rai  Amritha Aiyer  Varalaxmi Sarathkumar Prasanth Varma
5,9,Hanuman,Sanjeev Jaiswal, Mukesh Khanna, Viraj, Mona Shetty,Animation, Fantasy,unknown,2005,7,Milind Ukey,88,https://m.media-amazon.com/images/M/MV5BZmRiMDcwY2EtZDViMC00NWQ3LWE5ZGQtMjEwNGZkNGVjZjQzXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg,Sanjeev Jaiswal  Mukesh Khanna  Viraj  Mona Shetty Milind Ukey
7,14,Super Nani,Rekha, Sharman Joshi, Randhir Kapoor, Shweta Kumar,Family, Drama, Comedy,2014,6.9,Indra Kumar,133,https://m.media-amazon.com/images/M/MV5BYjE4OTAxNTgtNDIzNC00Nzk1LTgxYWMtYmUwMjJhYmM4YzQzXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,Rekha  Sharman Joshi  Randhir Kapoor  Shweta Kumar Indra Kumar
8,16,Kinou nani tabeta?,Hayato Isomura, Meiko Kaji, Chan Kawai,unknown,Family,unknown,unknown,2019,7.5,unknown,unknown,https://m.media-amazon.com/images/M/MV5BYWI3NzlmM2EtOGNiMi00MTEzLWIyMDQtNmQyZDQxYmRjMDlkXkEyXkFqcGdeQXVyODg2MDM2ODk@._V1_.jpg,Hayato Isomura  Meiko Kaji  Chan Kawai unknown unknown
9,17,Hi Nanna,Nani, Mrunal Thakur, Baby Kiara Khanna, Jayaram,Drama, Family, Romance,2023,6.9,Shouryuv,155,https://m.media-amazon.com/images/M/MV5BMjZkNTdhOTMtYzg0Yy00YjA4LTljOTQtZWRkNTZkMTY3Y2Y3XkEyXkFqcGdeQXVyMTUzNTgzNzM0._V1_.jpg,Nani  Mrunal Thakur  Baby Kiara Khanna  Jayaram Shouryuv
10,18,Hightown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,unknown,unknown,https://m.media-amazon.com/images/M/MV5BYmUyZGQ1YjUtZDRjMi00MWY5LWEyYzMtMzdjMDM4NDI2YjRiXkEyXkFqcGdeQXVyMTM1NjM2ODg1._V1_.jpg,unknown unknown unknown unknown unknown
11,19,Hi-de-Hi!,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,unknown,unknown,https://m.media-amazon.com/images/M/MV5BMzk1NmE4NTQtZTNiYS00ODRhLWIyNzEtMzc4YTM0MDAxY2QwXkEyXkFqcGdeQXVyNjc4NTExMTk@._V1_.jpg,unknown unknown unknown unknown unknown
